,0,1,2,3,4,5,6,7,8,9
0,969,0,16,6,3,21,24,1,14,8
1,0,1116,25,1,1,5,4,10,18,6
2,1,4,765,10,3,0,9,29,6,1
3,2,4,159,943,9,70,3,40,118,14
4,0,0,12,0,855,8,4,11,9,12
5,3,1,6,22,2,710,35,2,26,5
6,1,3,9,1,11,11,872,0,10,1
7,3,1,2,6,1,6,0,833,2,3
8,1,6,31,9,22,44,7,14,736,11
9,0,0,7,12,75,17,0,88,35,948
