,0,1,2,3,4,5,6,7,8,9
0,968,0,12,5,4,18,19,3,18,7
1,0,1119,19,1,2,5,2,6,22,4
2,1,3,787,12,6,0,12,21,7,1
3,1,4,153,945,4,69,2,23,176,15
4,0,0,6,4,842,9,2,8,11,10
5,4,2,6,18,1,707,15,1,26,5
6,1,3,16,2,17,23,905,0,20,1
7,3,1,7,8,2,8,0,899,10,11
8,0,3,19,5,9,21,1,6,630,4
9,2,0,7,10,95,32,0,61,54,951
