,test_c,test_i,train_c,train_i
0,1121,8879,6889,53111
1,8773,1227,52873,7127
2,8772,1228,52741,7259
3,8678,1322,52463,7537
4,8692,1308,52364,7636
5,8846,1154,53295,6705
6,8531,1469,51821,8179
7,8629,1371,52464,7536
8,8665,1335,52617,7383
9,8533,1467,51550,8450
10,8569,1431,52145,7855
11,8872,1128,53774,6226
12,8822,1178,53229,6771
13,8822,1178,53478,6522
14,8789,1211,53042,6958
15,8809,1191,53449,6551
16,8805,1195,53388,6612
17,8844,1156,53660,6340
18,8788,1212,53195,6805
19,8660,1340,52536,7464
20,8943,1057,54199,5801
21,8792,1208,53219,6781
22,8907,1093,54063,5937
23,8779,1221,53287,6713
24,8761,1239,53004,6996
25,8730,1270,52890,7110
26,8601,1399,52337,7663
27,8468,1532,51467,8533
28,8625,1375,52397,7603
29,8868,1132,53873,6127
30,8662,1338,52582,7418
31,8538,1462,51840,8160
32,8873,1127,54050,5950
33,8667,1333,52717,7283
34,8583,1417,52058,7942
35,8787,1213,53372,6628
36,8417,1583,51072,8928
37,8657,1343,52802,7198
38,8767,1233,53382,6618
39,8717,1283,53110,6890
40,8661,1339,52730,7270
41,8858,1142,53855,6145
42,8745,1255,53185,6815
43,8696,1304,52776,7224
44,8685,1315,53046,6954
45,8903,1097,53995,6005
46,8934,1066,54286,5714
47,8807,1193,53364,6636
48,8733,1267,52946,7054
49,8712,1288,53205,6795
50,8747,1253,53430,6570
